date,iso3,country,country_wgc,region_group,economic_group,source,fx_reserves_usd_mn,total_reserves_usd_mn,gold_reserves_tonnes,gold_reserves_usd_mn,gold_holdings_pct
2025-12-31,MUS,Mauritius,Mauritius,Sub-Saharan Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,8561.71,10305.33,12.42,1743.63,16.92
2025-12-31,MNG,Mongolia,Mongolia,East Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,5907.48,7003.33,7.8,1095.85,15.65
2025-12-31,MKD,North Macedonia,"North Macedonia, Republic of",Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,4835.95,5803.95,6.89,968.01,16.68
2025-12-31,COL,Colombia,Colombia,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,65116.59,65773.1,4.68,656.51,1.0
2025-12-31,ABW,Aruba,"Aruba, Kingdom of the Netherlands",Latin America & Caribbean,High income,wgc_fsapi:cbd_v11:snapshot_latest,1794.65,2231.43,3.11,436.78,19.57
2025-12-31,ISL,Iceland,Iceland,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,7448.05,7726.72,1.98,278.67,3.61
2025-12-31,SLV,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,4560.83,4814.62,1.81,253.79,5.27
2025-12-31,SUR,Suriname,Suriname,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,1444.44,1614.9,1.21,170.46,10.56
2025-12-31,KEN,Kenya,Kenya,Sub-Saharan Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,12094.92,12097.36,0.02,2.45,0.02
2025-12-31,ARM,Armenia,"Armenia, Rep. of",Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,5086.22,5086.22,0.0,0.0,0.0
2025-12-31,CAN,Canada,Canada,North America,High income,wgc_fsapi:cbd_v11:snapshot_latest,125409.44,125409.44,0.0,0.0,0.0
2025-12-31,CRI,Costa Rica,Costa Rica,Latin America & Caribbean,High income,wgc_fsapi:cbd_v11:snapshot_latest,17080.88,17080.88,0.0,0.0,0.0
2025-12-31,NOR,Norway,Norway,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,85356.4,85356.4,0.0,0.0,0.0
2025-12-31,AFG,Afghanistan,"Afghanistan, Islamic Rep. of",Central Asia,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
